Name,Profession,Subject,Experience,Geography
Dr. Amit Sharma,Professor,Data Science,29 years,Mumbai
Dr. Neha Gupta,Professor,Biology,5 years,Hyderabad
Dr. Rakesh Jain,Professor,Chemistry,24 years,Aurangabad
Dr. Priya Mehta,Professor,Chemistry,40 years,Lucknow
Dr. Sanjay Kumar,Professor,Physics,26 years,Ahmedabad
Dr. Anjali Singh,Professor,Economics,12 years,Delhi
Dr. Ravi Patel,Professor,Chemistry,7 years,Ghaziabad
Dr. Suresh Bhat,Professor,Data Science,10 years,Gurgaon
Dr. Rekha Menon,Professor,Physics,15 years,Delhi
Dr. Kiran Rao,Professor,Coding,34 years,Aurangabad
Dr. Arvind Nair,Professor,Coding,30 years,Coimbatore
Dr. Sunita Thakur,Professor,Coding,15 years,Meerut
Dr. Rajesh Joshi,Professor,History,33 years,Pune
Dr. Meenakshi Das,Professor,Chemistry,29 years,Mysore
Dr. Alok Mishra,Professor,Chemistry,32 years,Pune
Dr. Jyoti Deshmukh,Professor,Data Science,11 years,Gurgaon
Dr. Abhishek Anand,Professor,Data Science,9 years,Aurangabad
Dr. Shalini Pandey,Professor,Economics,13 years,Bangalore
Dr. Vikram Sinha,Professor,Chemistry,7 years,Nagpur
Dr. Pooja Ghosh,Professor,Data Science,19 years,Surat
Dr. Varun Gupta,Professor,Biology,9 years,Delhi
Dr. Sneha Roy,Professor,Data Science,8 years,Hyderabad
Dr. Manish Sharma,Professor,Coding,4 years,Surat
Dr. Kavita Reddy,Professor,Physics,15 years,Kanpur
Dr. Anil Kumar,Professor,Biology,13 years,Indore
Dr. Sujata Das,Professor,Coding,37 years,Chandigarh
Dr. Nitin Verma,Professor,Biology,23 years,Bhopal
Dr. Bhavana Joshi,Professor,Science,40 years,Ludhiana
Dr. Chandra Shekhar,Professor,Python,34 years,Ludhiana
Dr. Ruchi Saxena,Professor,Economics,39 years,Indore
Dr. Mohan Lal,Professor,Science,20 years,Patna
Dr. Aarti Patel,Professor,Chemistry,3 years,Mumbai
Dr. Naveen Agarwal,Professor,History,37 years,Chennai
Dr. Indu Singh,Professor,Python,40 years,Kolkata
Dr. Gopal Sharma,Professor,Physics,1 years,Vadodara
Dr. Payal Shah,Professor,Data Science,8 years,Aurangabad
Dr. Hitesh Malhotra,Professor,Python,14 years,Kanpur
Dr. Anita Sharma,Professor,Chemistry,33 years,Ludhiana
Dr. Vishal Raj,Professor,Mathematics,24 years,Nagpur
Dr. Sameer Desai,Professor,Coding,19 years,Jaipur
Dr. Kirti Kulkarni,Professor,History,33 years,Chennai
Dr. Pradeep Choudhary,Professor,Coding,14 years,Surat
Dr. Swati Agarwal,Professor,Economics,4 years,Mumbai
Dr. Rajeev Singh,Professor,Python,39 years,Vadodara
Dr. Archana Jain,Professor,Science,15 years,Ahmedabad
Dr. Himanshu Kumar,Professor,Chemistry,24 years,Aurangabad
Dr. Nisha Rao,Professor,Economics,19 years,Delhi
Dr. Ashok Mehta,Professor,Coding,30 years,Ghaziabad
Dr. Divya Agarwal,Professor,History,7 years,Agra
Dr. Vikas Gupta,Professor,Science,16 years,Kanpur
